ALSN_SPB,SPBXM,1,0.01
ALTR_SPB,SPBXM,1,0.01
ALV_SPB,SPBXM,1,0.01
ALXN_SPB,SPBXM,1,0.01
AMAT_SPB,SPBXM,1,0.01
AMCX_SPB,SPBXM,1,0.01
AMD_SPB,SPBXM,1,0.01
AME_SPB,SPBXM,1,0.01
AMED_SPB,SPBXM,1,0.01
AMG_SPB,SPBXM,1,0.01
AMGN_SPB,SPBXM,1,0.01
AMN_SPB,SPBXM,1,0.01
AMP_SPB,SPBXM,1,0.01
AMSF_SPB,SPBXM,1,0.01
AMT_SPB,SPBXM,1,0.01
AMWD_SPB,SPBXM,1,0.01
AMZN_SPB,SPBXM,1,0.01
AN_SPB,SPBXM,1,0.01
ANAB_SPB,SPBXM,1,0.01
ANDE_SPB,SPBXM,1,0.01
ANET_SPB,SPBXM,1,0.01
ANF_SPB,SPBXM,1,0.01
ANGI_SPB,SPBXM,1,0.01
ANIK_SPB,SPBXM,1,0.01
ANIP_SPB,SPBXM,1,0.01
ANSS_SPB,SPBXM,1,0.01
ANTM_SPB,SPBXM,1,0.01
AON_SPB,SPBXM,1,0.01
AOS_SPB,SPBXM,1,0.01
AOUT_SPB,SPBXM,1,0.01
APA_SPB,SPBXM,1,0.01
APD_SPB,SPBXM,1,0.01
APEI_SPB,SPBXM,1,0.01
APH_SPB,SPBXM,1,0.01
APLE_SPB,SPBXM,1,0.01
APLT_SPB,SPBXM,1,0.01
APPF_SPB,SPBXM,1,0.01
APPN_SPB,SPBXM,1,0.01
APPS_SPB,SPBXM,1,0.01
APTV_SPB,SPBXM,1,0.01
ARCC_SPB,SPBXM,1,0.01
ARCT_SPB,SPBXM,1,0.01
ARE_SPB,SPBXM,1,0.01
ARMK_SPB,SPBXM,1,0.01
ARNA_SPB,SPBXM,1,0.01
ARNC_SPB,SPBXM,1,0.01
ARQT_SPB,SPBXM,1,0.01
ARVN_SPB,SPBXM,1,0.01
ARW_SPB,SPBXM,1,0.01
ARWR_SPB,SPBXM,1,0.01
ASGN_SPB,SPBXM,1,0.01
ASH_SPB,SPBXM,1,0.01
ASIX_SPB,SPBXM,1,0.01
ATEX_SPB,SPBXM,1,0.01
ATGE_SPB,SPBXM,1,0.01
ATKR_SPB,SPBXM,1,0.01
ATNI_SPB,SPBXM,1,0.01
ATR_SPB,SPBXM,1,0.01
ATRA_SPB,SPBXM,1,0.01
ATRC_SPB,SPBXM,1,0.01
ATRI_SPB,SPBXM,1,0.01
ATRO_SPB,SPBXM,1,0.01
ATUS_SPB,SPBXM,1,0.01
ATVI_SPB,SPBXM,1,0.01
AVA_SPB,SPBXM,1,0.01
AVAV_SPB,SPBXM,1,0.01
AVB_SPB,SPBXM,1,0.01
AVGO_SPB,SPBXM,1,0.01
AVLR_SPB,SPBXM,1,0.01
AVNS_SPB,SPBXM,1,0.01
AVNT_SPB,SPBXM,1,0.01
AVT_SPB,SPBXM,1,0.01
AVTR_SPB,SPBXM,1,0.01
AVY_SPB,SPBXM,1,0.01
AWI_SPB,SPBXM,1,0.01
AWK_SPB,SPBXM,1,0.01
AWR_SPB,SPBXM,1,0.01
AX_SPB,SPBXM,1,0.01
AXGN_SPB,SPBXM,1,0.01
AXON_SPB,SPBXM,1,0.01
AXP_SPB,SPBXM,1,0.01
AXSM_SPB,SPBXM,1,0.01
AYI_SPB,SPBXM,1,0.01
AYX_SPB,SPBXM,1,0.01
AZO_SPB,SPBXM,1,0.01
AZPN_SPB,SPBXM,1,0.01
BA_SPB,SPBXM,1,0.01
BABA_SPB,SPBXM,1,0.01
BAC_SPB,SPBXM,1,0.01
BAH_SPB,SPBXM,1,0.01
BAND_SPB,SPBXM,1,0.01
BAX_SPB,SPBXM,1,0.01
BBBY_SPB,SPBXM,1,0.01
BBIO_SPB,SPBXM,1,0.01
BBSI_SPB,SPBXM,1,0.01
BBY_SPB,SPBXM,1,0.01
BC_SPB,SPBXM,1,0.01
BCO_SPB,SPBXM,1,0.01
BCPC_SPB,SPBXM,1,0.01
BDC_SPB,SPBXM,1,0.01
BDTX_SPB,SPBXM,1,0.01
BDX_SPB,SPBXM,1,0.01
BECN_SPB,SPBXM,1,0.01
BEN_SPB,SPBXM,1,0.01
BERY_SPB,SPBXM,1,0.01
BF.B_SPB,SPBXM,1,0.01
BFAM_SPB,SPBXM,1,0.01
BGS_SPB,SPBXM,1,0.01
BH_SPB,SPBXM,1,0.01
BHF_SPB,SPBXM,1,0.01
BIDU_SPB,SPBXM,1,0.01
BIG_SPB,SPBXM,1,0.01
BIIB_SPB,SPBXM,1,0.01
BILI_SPB,SPBXM,1,0.01
BILL_SPB,SPBXM,1,0.01
BIO_SPB,SPBXM,1,0.01
BJ_SPB,SPBXM,1,0.01
BJRI_SPB,SPBXM,1,0.01
BK_SPB,SPBXM,1,0.01
BKI_SPB,SPBXM,1,0.01
BKNG_SPB,SPBXM,1,0.01
BKR_SPB,SPBXM,1,0.01
BKU_SPB,SPBXM,1,0.01
BL_SPB,SPBXM,1,0.01
BLD_SPB,SPBXM,1,0.01
BLDR_SPB,SPBXM,1,0.01
BLK_SPB,SPBXM,1,0.01
BLKB_SPB,SPBXM,1,0.01
BLL_SPB,SPBXM,1,0.01
BLMN_SPB,SPBXM,1,0.01
BLUE_SPB,SPBXM,1,0.01
BMI_SPB,SPBXM,1,0.01
BMRN_SPB,SPBXM,1,0.01
BMY_SPB,SPBXM,1,0.01
BOH_SPB,SPBXM,1,0.01
BOKF_SPB,SPBXM,1,0.01
BOOT_SPB,SPBXM,1,0.01
BOX_SPB,SPBXM,1,0.01
BPMC_SPB,SPBXM,1,0.01
BR_SPB,SPBXM,1,0.01
BRC_SPB,SPBXM,1,0.01
BRK.A_SPB,SPBXM,1,0.01
BRK.B_SPB,SPBXM,1,0.01
BRKR_SPB,SPBXM,1,0.01
BRKS_SPB,SPBXM,1,0.01
BRO_SPB,SPBXM,1,0.01
BRX_SPB,SPBXM,1,0.01
BSX_SPB,SPBXM,1,0.01
BTAI_SPB,SPBXM,1,0.01
BTI_SPB,SPBXM,1,0.01
BUD_SPB,SPBXM,1,0.01
BURL_SPB,SPBXM,1,0.01
BWA_SPB,SPBXM,1,0.01
BWXT_SPB,SPBXM,1,0.01
BX_SPB,SPBXM,1,0.01
BXP_SPB,SPBXM,1,0.01
BYND_SPB,SPBXM,1,0.01
BZUN_SPB,SPBXM,1,0.01
C_SPB,SPBXM,1,0.01
CABO_SPB,SPBXM,1,0.01
CACC_SPB,SPBXM,1,0.01
CAG_SPB,SPBXM,1,0.01
CAH_SPB,SPBXM,1,0.01
CALM_SPB,SPBXM,1,0.01
CARA_SPB,SPBXM,1,0.01
CARG_SPB,SPBXM,1,0.01
CARR_SPB,SPBXM,1,0.01
CARS_SPB,SPBXM,1,0.01
CASY_SPB,SPBXM,1,0.01
CAT_SPB,SPBXM,1,0.01
CB_SPB,SPBXM,1,0.01
CBPO_SPB,SPBXM,1,0.01
CBRE_SPB,SPBXM,1,0.01
CBRL_SPB,SPBXM,1,0.01
CBSH_SPB,SPBXM,1,0.01
CBU_SPB,SPBXM,1,0.01
CC_SPB,SPBXM,1,0.01
CCI_SPB,SPBXM,1,0.01
CCK_SPB,SPBXM,1,0.01
CCL_SPB,SPBXM,1,0.01
CCMP_SPB,SPBXM,1,0.01
CCOI_SPB,SPBXM,1,0.01
CCXI_SPB,SPBXM,1,0.01
CDK_SPB,SPBXM,1,0.01
CDLX_SPB,SPBXM,1,0.01
CDNA_SPB,SPBXM,1,0.01
CDNS_SPB,SPBXM,1,0.01
CDW_SPB,SPBXM,1,0.01
CE_SPB,SPBXM,1,0.01
CEA_SPB,SPBXM,1,0.01
CENT_SPB,SPBXM,1,0.01
CENTA_SPB,SPBXM,1,0.01
CERN_SPB,SPBXM,1,0.01
CEVA_SPB,SPBXM,1,0.01
CF_SPB,SPBXM,1,0.01
CFG_SPB,SPBXM,1,0.01
CFR_SPB,SPBXM,1,0.01
CFX_SPB,SPBXM,1,0.01
CGEN_SPB,SPBXM,1,0.01
CGNT_SPB,SPBXM,1,0.01
CGNX_SPB,SPBXM,1,0.01
CHA_SPB,SPBXM,1,0.01
CHCO_SPB,SPBXM,1,0.01
CHD_SPB,SPBXM,1,0.01
CHDN_SPB,SPBXM,1,0.01
CHE_SPB,SPBXM,1,0.01
CHEF_SPB,SPBXM,1,0.01
CHGG_SPB,SPBXM,1,0.01
CHH_SPB,SPBXM,1,0.01
CHKP_SPB,SPBXM,1,0.01
CHL_SPB,SPBXM,1,0.01
CHNG_SPB,SPBXM,1,0.01
CHRW_SPB,SPBXM,1,0.01
CHTR_SPB,SPBXM,1,0.01
CHWY_SPB,SPBXM,1,0.01
CHX_SPB,SPBXM,1,0.01
CI_SPB,SPBXM,1,0.01
CIEN_SPB,SPBXM,1,0.01
CINF_SPB,SPBXM,1,0.01
CL_SPB,SPBXM,1,0.01
CLDR_SPB,SPBXM,1,0.01
CLDT_SPB,SPBXM,1,0.01
CLF_SPB,SPBXM,1,0.01
CLGX_SPB,SPBXM,1,0.01
CLH_SPB,SPBXM,1,0.01
CLR_SPB,SPBXM,1,0.01
CLX_SPB,SPBXM,1,0.01
CMA_SPB,SPBXM,1,0.01
CMC_SPB,SPBXM,1,0.01
CMCO_SPB,SPBXM,1,0.01
CMCSA_SPB,SPBXM,1,0.01
CMD_SPB,SPBXM,1,0.01
CME_SPB,SPBXM,1,0.01
CMG_SPB,SPBXM,1,0.01
CMI_SPB,SPBXM,1,0.01
CMP_SPB,SPBXM,1,0.01
CMS_SPB,SPBXM,1,0.01
CNC_SPB,SPBXM,1,0.01
CNK_SPB,SPBXM,1,0.01
CNMD_SPB,SPBXM,1,0.01
CNP_SPB,SPBXM,1,0.01
CNS_SPB,SPBXM,1,0.01
CNST_SPB,SPBXM,1,0.01
CNX_SPB,SPBXM,1,0.01
CNXC_SPB,SPBXM,1,0.01
CNXN_SPB,SPBXM,1,0.01
COF_SPB,SPBXM,1,0.01
COFS_SPB,SPBXM,1,0.01
COG_SPB,SPBXM,1,0.01
COHR_SPB,SPBXM,1,0.01
COKE_SPB,SPBXM,1,0.01
COLD_SPB,SPBXM,1,0.01
COLM_SPB,SPBXM,1,0.01
CONE_SPB,SPBXM,1,0.01
COO_SPB,SPBXM,1,0.01
COP_SPB,SPBXM,1,0.01
COR_SPB,SPBXM,1,0.01
CORR_SPB,SPBXM,1,0.01
CORT_SPB,SPBXM,1,0.01
COST_SPB,SPBXM,1,0.01
COTY_SPB,SPBXM,1,0.01
COUP_SPB,SPBXM,1,0.01
CPB_SPB,SPBXM,1,0.01
CPRI_SPB,SPBXM,1,0.01
CPRT_SPB,SPBXM,1,0.01
CPS_SPB,SPBXM,1,0.01
CR_SPB,SPBXM,1,0.01
CREE_SPB,SPBXM,1,0.01
CRI_SPB,SPBXM,1,0.01
CRL_SPB,SPBXM,1,0.01
CRM_SPB,SPBXM,1,0.01
CRMT_SPB,SPBXM,1,0.01
CROX_SPB,SPBXM,1,0.01
CRS_SPB,SPBXM,1,0.01
CRTX_SPB,SPBXM,1,0.01
CRUS_SPB,SPBXM,1,0.01
CRVL_SPB,SPBXM,1,0.01
CRWD_SPB,SPBXM,1,0.01
CSCO_SPB,SPBXM,1,0.01
CSGP_SPB,SPBXM,1,0.01
CSGS_SPB,SPBXM,1,0.01
CSII_SPB,SPBXM,1,0.01
CSL_SPB,SPBXM,1,0.01
CSOD_SPB,SPBXM,1,0.01
CSWI_SPB,SPBXM,1,0.01
CSX_SPB,SPBXM,1,0.01
CTAS_SPB,SPBXM,1,0.01
CTB_SPB,SPBXM,1,0.01
CTLT_SPB,SPBXM,1,0.01
CTSH_SPB,SPBXM,1,0.01
CTVA_SPB,SPBXM,1,0.01
CTXS_SPB,SPBXM,1,0.01
CVCO_SPB,SPBXM,1,0.01
CVET_SPB,SPBXM,1,0.01
CVGW_SPB,SPBXM,1,0.01
CVLT_SPB,SPBXM,1,0.01
CVNA_SPB,SPBXM,1,0.01
CVS_SPB,SPBXM,1,0.01
CVX_SPB,SPBXM,1,0.01
CW_SPB,SPBXM,1,0.01
CWST_SPB,SPBXM,1,0.01
CWT_SPB,SPBXM,1,0.01
D_SPB,SPBXM,1,0.01
DAL_SPB,SPBXM,1,0.01
DAR_SPB,SPBXM,1,0.01
DASH_SPB,SPBXM,1,0.01
DBX_SPB,SPBXM,1,0.01
DCI_SPB,SPBXM,1,0.01
DCPH_SPB,SPBXM,1,0.01
DD_SPB,SPBXM,1,0.01
DDOG_SPB,SPBXM,1,0.01
DDS_SPB,SPBXM,1,0.01
DE_SPB,SPBXM,1,0.01
DECK_SPB,SPBXM,1,0.01
DELL_SPB,SPBXM,1,0.01
DFS_SPB,SPBXM,1,0.01
DG_SPB,SPBXM,1,0.01
DGX_SPB,SPBXM,1,0.01
DHI_SPB,SPBXM,1,0.01
DHR_SPB,SPBXM,1,0.01
DIOD_SPB,SPBXM,1,0.01
DIS_SPB,SPBXM,1,0.01
DISCA_SPB,SPBXM,1,0.01
DISCB_SPB,SPBXM,1,0.01
DISCK_SPB,SPBXM,1,0.01
DISH_SPB,SPBXM,1,0.01
DK_SPB,SPBXM,1,0.01
DKNG_SPB,SPBXM,1,0.01
DKS_SPB,SPBXM,1,0.01
DLB_SPB,SPBXM,1,0.01
DLR_SPB,SPBXM,1,0.01
DLTH_SPB,SPBXM,1,0.01
DLTR_SPB,SPBXM,1,0.01
DLX_SPB,SPBXM,1,0.01
DNLI_SPB,SPBXM,1,0.01
DNOW_SPB,SPBXM,1,0.01
DOCU_SPB,SPBXM,1,0.01
DORM_SPB,SPBXM,1,0.01
DOV_SPB,SPBXM,1,0.01
